# sum_ticks_a, sum_ticks_b
280 846 
321 938 
368 1030 
419 1118 
476 1205 
539 1294 
607 1387 
680 1484 
760 1584 
846 1689 
937 1802 
1033 1919 
1144 2043 
1267 2172 
1396 2308 
1529 2449 
1664 2591 
1800 2733 
1938 2876 
2078 3022 
2223 3172 
2371 3327 
2521 3484 
2673 3645 
2827 3809 
2984 3975 
3144 4143 
3306 4312 
3470 4482 
3637 4655 
3807 4832 
3978 5011 
4151 5191 
4326 5372 
4502 5555 
4680 5741 
4858 5927 
5036 6116 
5216 6305 
5398 6495 
5584 6687 
5772 6883 
5961 7083 
6152 7285 
6343 7484 
6534 7683 
6727 7884 
6921 8086 
7117 8286 
7313 8486 
7511 8689 
7708 8896 
7907 9110 
8108 9327 
8311 9543 
8517 9758 
8725 9975 
8933 10190 
9142 10404 
9352 10619 
9562 10837 
9774 11058 
9989 11280 
10206 11505 
10424 11731 
10644 11958 
10867 12188 
11091 12420 
11316 12652 
11541 12885 
11767 13117 
11995 13352 
12222 13588 
12449 13820 
12677 14051 
12907 14288 
13140 14529 
13375 14770 
13612 15010 
13849 15252 
14086 15496 
14324 15742 
14561 15990 
14798 16239 
15036 16489 
15277 16741 
15519 16992 
15761 17242 
16005 17492 
16251 17745 
16499 18001 
16746 18254 
16993 18509 
17242 18765 
17493 19022 
17744 19279 
17994 19536 
18246 19796 
18500 20056 
18756 20317 
19014 20580 
19274 20843 
19535 21105 
19796 21361 
20056 21622 
20315 21884 
20576 22145 
20837 22405 
21098 22670 
21362 22943 
21630 23223 
21900 23508 
22171 23794 
22442 24076 
22709 24349 
22974 24615 
23236 24880 
23498 25145 
23763 25414 
24034 25689 
24308 25969 
24584 26252 
24861 26535 
25137 26816 
25411 27096 
25684 27375 
25957 27650 
26230 27927 
26504 28208 
26782 28493 
27061 28780 
27340 29070 
27620 29362 
27901 29652 
28182 29939 
28462 30227 
28742 30512 
29021 30799 
29303 31091 
29590 31388 
29880 31690 
30171 31993 
30462 32293 
30749 32591 
31034 32889 
31318 33185 
31604 33486 
31890 33786 
32179 34083 
32469 34381 
32759 34684 
33051 34991 
33344 35297 
33639 35605 
33935 35910 
34231 36213 
34526 36519 
34820 36825 
35114 37133 
35408 37443 
35699 37753 
35990 38063 
36281 38368 
36574 38671 
36868 38976 
37161 39283 
37457 39590 
37756 39899 
38056 40210 
38358 40522 
38661 40835 
38963 41147 
39263 41455 
39562 41763 
39864 42072 
40169 42383 
40476 42693 
40785 43005 
41092 43314 
41397 43619 
41701 43924 
42006 44231 
42313 44543 
42622 44861 
42933 45180 
43242 45497 
43553 45817 
43864 46138 
44175 46457 
44485 46773 
44793 47087 
45100 47401 
45408 47713 
45716 48026 
46027 48347 
46341 48671 
46655 48994 
46968 49319 
47281 49650 
47593 49982 
47905 50316 
48217 50651 
48528 50985 
48840 51321 
49153 51655 
49468 51985 
49785 52316 
50102 52644 
50421 52975 
50742 53310 
51063 53646 
51384 53982 
51701 54313 
52016 54640 
52335 54969 
52657 55300 
52981 55633 
53306 55964 
53629 56294 
53953 56625 
54277 56957 
54601 57290 
54925 57623 
55247 57956 
55570 58291 
55894 58626 
56216 58961 
56539 59296 
56863 59631 
57186 59966 
57510 60299 
57836 60630 
58162 60963 
58490 61297 
58820 61634 
59149 61973 
59478 62308 
59807 62644 
60138 62980 
60469 63316 
60803 63654 
61137 63994 
61470 64336 
61805 64681 
62140 65026 
62473 65367 
62805 65706 
63135 66045 
63465 66391 
63797 66743 
64130 67095 
64463 67439 
64795 67774 
65126 68105 
65455 68436 
65783 68770 
66112 69110 
66444 69451 
66776 69791 
67108 70131 
67440 70471 
67769 70813 
68099 71159 
68429 71504 
68758 71843 
69090 72181 
69423 72519 
69756 72858 
70090 73201 
70424 73545 
70760 73890 
71097 74233 
71434 74574 
71770 74915 
72104 75254 
72438 75594 
72771 75936 
73101 76272 
73430 76604 
73761 76939 
74095 77280 
74433 77628 
74774 77979 
75117 78326 
75457 78669 
75795 79012 
76130 79351 
76463 79689 
76797 80026 
77132 80362 
77467 80699 
77803 81037 
78138 81373 
78472 81707 
78808 82038 
79143 82368 
79478 82697 
79812 83027 
80146 83357 
